Name;address;Ville;CP;telephone;site
 Hôtel  Auberge  du  Moulin  de  Léré ; Sous  la  Côte ;74470;VAILLY; 04  50  73  61  83 ;http://www.moulindelere.com/le-restaurant/contenu
 Restaurant  Le  Chapka ; Village  de  la  Falaise  résid  Douchka  Avoriaz ;74110;MORZINE; 04  50  74  23  30 ;None
 L'envol  Restaurant ; Metz  Tessy  8  rte  Côte  Merle ;74330; EPAGNY  METZ  TESSY ; 04  38  80  35  62 ;http://www.restaurantlenvol.com
 LE  CAFE  DES  ARTISTE  DIESE ; 2  pass  Jacquard ;74960; CRAN  GEVRIER ; 04  50  67  23  12 ;None
 AU  VILLAGE  ORBA ; 65  rte  Megève ;74920;COMBLOUX; 04  50  90  99  16 ;www.facebook.com
 SKV  LE  VESUVIO ; 22  r  Marc  Courriard ;74100;ANNEMASSE; 04  50  83  35  97 ;http://www.il-vesuvio.fr
 CASA  PIZZA ; 2481  rte  des  Grandes  Alpes ;74430; SAINT  JEAN  D'AULPS ; 04  50  79  67  40 ;www.skiflash.fr
 Restaurant  Le  Goëland ; r  Lac ;74200; ANTHY  SUR  LÉMAN ; 04  50  70  35  15 ;http://restaurant-le-goeland.com
 Le  Fournil ; 1  rte  Croix  de  Pierre ;74920;COMBLOUX; 04  50  58  60  69 ;None
 Le  PlaisanSciez  Meviti ; La  Coudrette  573  rte  Port ;74140;SCIEZ; 04  50  17  30  73 ;http://www.restaurant-leplaisansciez.fr
 LA  MIE  JULIEN ; 2  av  Mössingen ;74160; SAINT  JULIEN  EN  GENEVOIS ; 04  50  83  07  47 ;None
 Noly'S  Café ; 26  r  Soeurs  Blanches ;74000;ANNECY; 04  50  27  46  67 ;None
Paninoteca; 8  r  Royale ;74000;ANNECY; 04  50  44  16  20 ;paninoteca.fr
 Haval  Restaurant ; 49  av  Cran ;74000;ANNECY; 04  50  67  51  80 ;None
 Le  Buffet  Gourmand ; 287  rte  Creuses ;74600;SEYNOD; 04  50  10  20  20 ;http://kl.site-solocal.com
 Alpade  de  L'herney ; ld  Cordon  2980  rte  Frebouges  D'En  Haut ;74700;CORDON; 06  98  32  52  61 ;http://www.alpagedelherney.com
 La  Marmotte  Sylvie ; La  Marmotte  4709  rte  Vallée  du  Bouchet ;74450; LE  GRAND  BORNAND ; 04  50  02  35  91 ;http://www.restaurant-la-marmotte.fr
 Restaurant  Le  Presteau ; 4360  rte  Bettex ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  93  10  89 ;http://www.lepresteau.com
 Vintage  by  juno ; 300  rte  Annecy ;74370;PRINGY; 04  50  44  65  63 ;http://www.vintage-by-juno.com/fr/evenements,2/2018,292.html
 Bar  Restaurant  L'Ancolie ; ham  Flaine ;74300; ARÂCHES  LA  FRASSE ; 04  50  90  87  94 ;http://lancolie.eatbu.com/#times
 Passion  Pizza ; 236  av  Geneve ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  96  61  36 ;http://www.passion-pizza.com
 Le  Gouthé  SARL  Pâtisserie  des  Moulins ; 95  r  Moulins ;74400; CHAMONIX  MONT  BLANC ; 04  50  78  36  20 ;http://legouthe.weebly.com
 Hôtel  Le  Chinfrey ; 2  rte  Perrières ;74260; LES  GETS ; 04  50  79  71  30 ;None
 Dixie  Bar ; 38  r  Bourg ;74110;MORZINE; 04  50  79  27  83 ;facebook.com/TheDixieBarMorzine
 LE  BOSPHORE ; 1  av  Prélevet ;74960; CRAN  GEVRIER ; 04  50  69  17  46 ;None
 Chez  Toi ; rte  Plagne ;74110;MORZINE; 07  83  04  77  90 ;http://cheztoi.biz
